ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
PAIS,Padre Island National Seashore,TX,IMR,,0,," 	323,431 "," 	1,280,111 ",,
PAAL,Palo Alto Battlefield National Historic Site,TX,IMR,,0,," 	13,944 "," 	105,013 ",,
PERI,Pea Ridge National Military Park,AR,MWR,,0,, 	345 ," 	21,648 ",,
PECO,Pecos National Historic Park,NM,IMR,,0,," 	789,866 "," 	918,477 ",,
JOMU,John Muir National Historic Site,CA,PWR,,1,8/11/10," 	10,779 "," 	38,883 ",,
PEVI,Perry's Victory and International Peace Memorial,OH,MWR,,0,," 	1,161 "," 	92,118 ",,
PETE,Petersburg National Battlefield,VA,NER,,0,," 	61,947 "," 	23,976 ",,
PEFO,Petrified Forest National Park,AZ,IMR,,0,," 	1,495,664 "," 	6,460,614 ",,
PETR,Petroglyph National Monument,NM,IMR,,0,," 	100,390 "," 	1,193,749 ",,
JOTR,Joshua Tree National Park,CA,PWR,,1,8/11/10," 	106,372 "," 	340,843 ",,
KALA,Kalaupapa National Historic Park,HI,PWR,,1,1/12/11," 	46,560 "," 	84,279 ",,
